date,pm1,latitude,longitude,pm10,pm25
2022-05-28T00:00:00.000Z,1.0,41.653315,-8.58779,138074.0,1.9
2022-05-29T00:00:00.000Z,5.55,41.653315,-8.58779,7.1,10.35
2022-05-30T00:00:00.000Z,6.7,41.653315,-8.58779,16.4,14.5
2022-05-31T00:00:00.000Z,5.7,41.653315,-8.58779,12.0,10.85
2022-06-01T00:00:00.000Z,0.8,41.653315,-8.58779,2.2,1.6
2022-06-02T00:00:00.000Z,1.6,41.653315,-8.58779,4.7,4.4
2022-06-03T00:00:00.000Z,0.2,41.653315,-8.58779,1.3,0.9
2022-06-04T00:00:00.000Z,1.7,41.653315,-8.58779,3.9,3.6
2022-06-05T00:00:00.000Z,2.75,41.653315,-8.58779,4.0,4.7
2022-06-06T00:00:00.000Z,0.6,41.653315,-8.58779,3.0,2.8
2022-06-07T00:00:00.000Z,0.4,41.653315,-8.58779,1.9,1.7
2022-06-08T00:00:00.000Z,0.3,41.653315,-8.58779,1.2,1.2
2022-06-09T00:00:00.000Z,0.4,41.653315,-8.58779,2.4,2.15
2022-06-10T00:00:00.000Z,1.5,41.653315,-8.58779,3.9,3.65
2022-06-11T00:00:00.000Z,1.8,41.653315,-8.58779,4.6,4.3
2022-06-12T00:00:00.000Z,7.6,41.653315,-8.58779,14.3,13.7
2022-06-13T00:00:00.000Z,5.09,41.653315,-8.58779,9.4,8.8
2022-06-14T00:00:00.000Z,11.5,41.653315,-8.58779,22.8,21.6
2022-06-15T00:00:00.000Z,15.9,41.653315,-8.58779,26.4,24.5
2022-06-16T00:00:00.000Z,4.59,41.653315,-8.58779,14.5,11.1
2022-06-17T00:00:00.000Z,4.84,41.653315,-8.58779,15.0,11.8
2022-06-18T00:00:00.000Z,2.54,41.653315,-8.58779,4.9,4.7
2022-06-19T00:00:00.000Z,1.4,41.653315,-8.58779,4.2,4.4
2022-06-20T00:00:00.000Z,0.1,41.653315,-8.58779,0.2,0.1
2022-06-21T00:00:00.000Z,3.2,41.653315,-8.58779,6.95,6.4
